positionId,type,entryPrice,closePrice,grossProfit,pips,balance,quantity,sl,tp,close_event,entry_dt,exit_dt,duration_min,win,exit_dow,exit_month,score,pattern,adx,htf
1,Sell,1.08619,1.0832,149.04,29.9,10145.56,0.54,1.08768,1.08321,Take-Profit-Zugriff,2024-01-23 12:30:00.832000+00:00,2024-01-23 15:35:33.330000+00:00,185.54163333333332,True,Tuesday,2024-01,3,Bearish Engulfing,,
2,Sell,1.08341,1.08462,-30.12,-12.099999999999998,10113.699999999999,0.27,1.08644,1.07734,Position geschlossen,2024-01-25 16:45:04.227000+00:00,2024-01-25 21:50:00.764000+00:00,304.94228333333336,False,Thursday,2024-01,3,Bearish Engulfing,,
3,Sell,1.07953,1.07931,4.89,2.2,10117.029999999999,0.24,1.08284,1.0729,Position geschlossen,2024-02-02 16:15:00.175000+00:00,2024-02-02 21:00:00.249000+00:00,285.00123333333335,True,Friday,2024-02,3,Bearish Engulfing,,
4,Sell,1.07291,1.07146,101.5,14.499999999999998,10213.63,0.75,1.07363,1.07146,Take-Profit-Zugriff,2024-06-20 07:45:00.096000+00:00,2024-06-20 08:21:19.445000+00:00,36.32248333333334,True,Thursday,2024-06,3,Bearish Engulfing,,
5,Buy,1.09565,1.0984,150.22,27.499999999999996,10360.029999999999,0.6,1.09427,1.0984,Take-Profit-Zugriff,2024-08-13 14:15:00.108000+00:00,2024-08-13 18:08:50.792000+00:00,233.84473333333332,True,Tuesday,2024-08,3,Pin Bar (Hammer),,
6,Buy,1.11468,1.11722,154.6,25.4,10510.369999999999,0.68,1.11341,1.11722,Take-Profit-Zugriff,2024-09-19 07:45:03.478000+00:00,2024-09-19 09:11:48.037000+00:00,86.74265,True,Thursday,2024-09,3,Pin Bar (Hammer),,
7,Sell,1.09249,1.09136,35.21,11.299999999999999,10543.4,0.34,1.09498,1.08749,Stop-Loss-Zugriff,2024-10-10 16:00:00.518000+00:00,2024-10-10 17:22:47.382000+00:00,82.78106666666666,True,Thursday,2024-10,3,Bearish Engulfing,,
8,Sell,1.0909,1.09189,-70.73,-9.9,10467.67,0.78,1.09186,1.08898,Stop-Loss-Zugriff,2024-10-14 12:45:00.223000+00:00,2024-10-14 13:44:53.052000+00:00,59.88048333333334,False,Monday,2024-10,3,Bearish Engulfing,,
9,Sell,1.08262,1.08329,-21.03,-6.7,10444.44,0.34,1.08507,1.07773,Position geschlossen,2024-10-17 14:15:00.066000+00:00,2024-10-17 21:50:22.620000+00:00,455.3759,False,Thursday,2024-10,3,Bearish Engulfing,,
10,Sell,1.08196,1.08164,23.08,3.2,10462.480000000001,0.78,1.08298,1.0799,Stop-Loss-Zugriff,2024-10-21 16:30:01.257000+00:00,2024-10-21 20:06:01.933000+00:00,216.01126666666667,True,Monday,2024-10,3,Bearish Engulfing,,
11,Sell,1.08068,1.07986,42.53,8.2,10501.37,0.56,1.08217,1.0777,Stop-Loss-Zugriff,2024-10-22 15:45:00.961000+00:00,2024-10-22 20:12:22.604000+00:00,267.3607166666667,True,Tuesday,2024-10,3,Bearish Engulfing,,
12,Sell,1.07072,1.07178,-35.6,-10.6,10463.410000000002,0.36,1.07301,1.06615,Position geschlossen,2024-11-08 18:30:00.542000+00:00,2024-11-08 21:00:00.214000+00:00,149.99453333333335,False,Friday,2024-11,3,Bearish Engulfing,,
13,Sell,1.06154,1.06077,31.21,7.699999999999999,10491.780000000002,0.43,1.06346,1.0577,Stop-Loss-Zugriff,2024-11-12 10:15:00.207000+00:00,2024-11-12 17:55:00.998000+00:00,460.01318333333336,True,Tuesday,2024-11,3,Bearish Engulfing,,
14,Sell,1.05203,1.05151,23.74,5.199999999999999,10512.320000000003,0.48,1.05372,1.04865,Stop-Loss-Zugriff,2024-11-14 10:00:00.215000+00:00,2024-11-14 10:46:07.224000+00:00,46.116816666666665,True,Thursday,2024-11,3,Bearish Engulfing,,
15,Sell,1.05264,1.05561,-75.97,-29.7,10434.550000000003,0.27,1.05561,1.04671,Stop-Loss-Zugriff,2024-11-15 15:45:00.100000+00:00,2024-11-15 17:01:18.943000+00:00,76.31405,False,Friday,2024-11,3,Bearish Engulfing,,
16,Sell,1.05149,1.05327,-77.74,-17.799999999999997,10353.750000000004,0.46,1.05326,1.04794,Stop-Loss-Zugriff,2024-11-21 10:15:00.743000+00:00,2024-11-21 12:50:35.142000+00:00,155.57331666666667,False,Thursday,2024-11,3,Bearish Engulfing,,
17,Sell,1.04019,1.04148,-18.58,-12.899999999999999,10334.170000000004,0.15,1.04538,1.02982,Position geschlossen,2024-11-22 10:00:00.007000+00:00,2024-11-22 21:00:00.623000+00:00,660.0102666666667,False,Friday,2024-11,3,Bearish Engulfing,,
18,Sell,1.04856,1.0498,-76.78,-12.399999999999999,10253.050000000003,0.65,1.0498,1.04606,Stop-Loss-Zugriff,2024-12-17 11:15:02.236000+00:00,2024-12-17 12:54:09.248000+00:00,99.11686666666667,False,Tuesday,2024-12,3,Bearish Engulfing,,
19,Sell,1.02567,1.02675,-23.14,-10.799999999999999,10228.410000000003,0.22,1.02913,1.01875,Position geschlossen,2025-01-02 17:30:00.177000+00:00,2025-01-02 21:50:00.373000+00:00,260.00326666666666,False,Thursday,2025-01,3,Bearish Engulfing,,
20,Sell,1.03686,1.03741,-12.19,-5.5,10214.660000000003,0.23,1.04027,1.03003,Position geschlossen,2025-01-31 19:45:01.618000+00:00,2025-01-31 21:00:00.404000+00:00,74.97976666666666,False,Friday,2025-01,3,Bearish Engulfing,,
